EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FEPAGO
ALEXANDER DURANGO GARCIA;ZC002;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;24/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;25/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;26/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;27/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;21/01/11;6;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;22/01/11;3;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;23/01/11;10;0;0;0;2050;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;24/01/11;3;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;25/01/11;6;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;26/01/11;3;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;27/01/11;3;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;04/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;05/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;06/01/11;0;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
