EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1430;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;C;;21/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1430;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;C;;22/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1430;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;C;;24/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1430;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;C;;25/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1430;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;C;;26/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1430;TIENDA LA VARONEZA;CR 16B #51F 32;TIEVAR01;C;;27/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1640;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;21/01/11;6;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1640;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;22/01/11;3;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1640;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;23/01/11;10;;;2050;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1640;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;24/01/11;3;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1640;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;25/01/11;6;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1640;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;26/01/11;3;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1640;SUPERMERCADO VILLAPILAR;CL 10 N? 2C  15;SUPVIL02;C;;27/01/11;3;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;04/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;05/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;06/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;07/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;08/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;10/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;11/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;12/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;13/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;14/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;15/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;17/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;18/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;19/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;20/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;21/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;22/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;24/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;25/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;26/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1460;DROGAS PROSALUD;CR 10A #48E 16   S. CAYETAN;DROPRO01;C;;27/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1610;LA CASA DEL DETALLE;AV.19 #15 10;CASDET01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1610;LA CASA DEL DETALLE;AV.19 #15 10;CASDET01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1620;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1620;MERCA - ABASTOS;AV 19 # 11-47;MERABA01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1485;DROGAS SUPERSERVICIO;CR 12 #47L 03;DRODRO01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1520;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;20/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1520;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;21/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1520;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;22/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1520;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;23/01/11;4;;;2050;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1520;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;24/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1520;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;25/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1520;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1520;MISCELANEA EL PINAL;CR 18 # 45B-04;MISPIN01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1710;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;C;;25/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1710;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1710;PANADERIA LA PASTORA;CL 12 #13 05;PANPAS02;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1720;MISCELANEA BOMBY;CL 10 #11 37;MISBOM01;C;;25/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1720;MISCELANEA BOMBY;CL 10 #11 37;MISBOM01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1720;MISCELANEA BOMBY;CL 10 #11 37;MISBOM01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1410;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;C;;25/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1410;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1410;QUESERA LA ARGENTINA;CR 20 #51 58;QUEARG01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1550;TIENDA INESITA;CL 30 #16 64;TIEINE01;C;;24/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1550;TIENDA INESITA;CL 30 #16 64;TIEINE01;C;;25/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1550;TIENDA INESITA;CL 30 #16 64;TIEINE01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1550;TIENDA INESITA;CL 30 #16 64;TIEINE01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1730;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;C;;21/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1730;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;C;;22/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1730;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;C;;23/01/11;4;;;2050;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1730;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;C;;24/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1730;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;C;;25/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1730;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1730;AUTOSERVICIO EL TRIGAL;CL 10 #9 40;AUTTRI01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1580;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;C;;09/01/11;0;;;2050;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1580;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;C;;10/01/11;0;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1580;DROGUERIA LA 18;CL 27 # 17-59;DRO1801;C;;16/01/11;0;;;2050;;PAT;LA PATRIA
